model,decoding_tps,prefill_tps,run_id,mode,temperature,repeat_penalty,top_p,top_k,min_p,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,poll_level,use_mmap,split_mode,dry_multiplier,frequency_penalty,presence_penalty,token_limit,prompt_tokens,gen_tokens,run_tag,log_file
mobilellm-r1.5-950M_q4_0,92.42,605.11,1,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial1_mobilellm-r1.5-950M_q4_0_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial1_mobilellm-r1.5-950M_q4_0_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
MobileLLM-R1-950M_Q4_K_M,79.21,221.90,2,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial2_MobileLLM-R1-950M_Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial2_MobileLLM-R1-950M_Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
gemma-3n-5b-e2b-bf16_q4_0,24.74,140.60,3,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial3_gemma-3n-5b-e2b-bf16_q4_0_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial3_gemma-3n-5b-e2b-bf16_q4_0_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
minicpm-3b-openhermes-2.5-v2.Q4_K_M,22.56,48.49,4,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial4_minicpm-3b-openhermes-2.5-v2.Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial4_minicpm-3b-openhermes-2.5-v2.Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
MobileLLM-R1-360M_Q8_0,148.39,659.43,5,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial5_MobileLLM-R1-360M_Q8_0_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial5_MobileLLM-R1-360M_Q8_0_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
qwen2.5-3b-instruct-q4_k_m,19.08,46.11,6,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial6_qwen2.5-3b-instruct-q4_k_m_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial6_qwen2.5-3b-instruct-q4_k_m_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
LFM2-8B-A1B-Q4_K_M,36.14,66.13,7,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial7_LFM2-8B-A1B-Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial7_LFM2-8B-A1B-Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
llama-3.2-1b-instruct-q4_k_m,45.82,113.38,8,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial8_llama-3.2-1b-instruct-q4_k_m_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial8_llama-3.2-1b-instruct-q4_k_m_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
mobilellm-r1.5-950M_q4_0,69.55,337.71,9,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial9_mobilellm-r1.5-950M_q4_0_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial9_mobilellm-r1.5-950M_q4_0_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
LFM2-2.6B.Q4_K_M,24.01,47.14,10,CPU,0.2,1.1,1.0,40,0.15,1024,0,128,128,8,0,f16,f16,1,30,0,none,1.0,0.1,0.4,600,512,128,trial10_LFM2-2.6B.Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1,hyperparam_bench_random_20251210_193119/trial10_LFM2-2.6B.Q4_K_M_modeCPU_T0.2_P1.0_K40_minp0.15_C1024_Bcpu128_thr8_ngl0_pp512_tg128_fa1.log
