run_id,model,mode,temperature,repeat_penalty,top_p,top_k,min_p,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,context_shift,poll_level,use_mmap,split_mode,dry_multiplier,frequency_penalty,presence_penalty,token_limit,system_prompt,rouge1,rouge2,rougeL,rougeLsum,avg_prefill_speed,avg_decode_speed,avg_total_speed,runtime_seconds
1,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.2,1.0,30,0.15,264,4,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.0,0.0,0.0,0.0,0.00,0.00,0.00,154
2,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.2,1.0,30,0.15,2048,4,512,512,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.0,0.0,0.0,0.0,0.00,0.00,0.00,149
3,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,0,512,512,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.0,0.0,0.0,0.0,0.00,0.00,0.00,153
4,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,0,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.0,0.0,0.0,0.0,0.00,0.00,0.00,153
5,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.2,1.0,30,0.15,264,4,512,512,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.0,0.0,0.0,0.0,0.00,0.00,0.00,143
6,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,0,512,512,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.0,0.0,0.0,0.0,0.00,0.00,0.00,145
7,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.2,1.0,30,0.15,1024,4,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.0,0.0,0.0,0.0,0.00,0.00,0.00,151
8,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.2,1.0,30,0.15,264,0,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.0,0.0,0.0,0.0,0.00,0.00,0.00,142
9,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,0,512,512,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.0,0.0,0.0,0.0,0.00,0.00,0.00,152
10,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,512,4,512,512,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.0,0.0,0.0,0.0,0.00,0.00,0.00,141
11,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.2,1.0,30,0.15,1024,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.0,0.0,0.0,0.0,0.00,0.00,0.00,149
12,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,2048,0,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.0,0.0,0.0,0.0,0.00,0.00,0.00,148
13,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,0,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.0,0.0,0.0,0.0,0.00,0.00,0.00,136
14,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.2,1.0,30,0.15,264,4,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.0,0.0,0.0,0.0,0.00,0.00,0.00,138
