run_id,model,mode,temperature,repeat_penalty,top_p,top_k,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,context_shift,poll_level,use_mmap,split_mode,system_prompt,bleurt_score,accuracy,avg_prefill_speed,avg_decode_speed,avg_total_speed,runtime_seconds
1,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.1,0.95,60,4096,4,64,512,6,0,f16,f16,off,1,0,1,none,"",-0.7486828027665615,0.54,24.42,16.07,16.68,1576
2,Llama-3.2-3B-Instruct-Q4_K_M.gguf,CPU,0.7,1.0,0.85,80,8192,4,256,1024,8,0,f16,f16,off,1,50,1,none,"",-0.8964946402609348,0.46,27.27,17.65,18.44,1597
3,Llama-3.2-1B-Instruct-Q4_K_M.gguf,CPU,0.9,1.25,0.85,80,8192,4,512,256,6,0,f16,q8_0,on,1,0,1,none,"",-0.954283866584301,0.62,24.00,15.33,16.06,1642
4,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.5,1.0,0.85,40,2048,4,128,1024,8,0,f16,f16,on,1,50,0,none,"",-0.8018002963066101,0.58,31.06,20.85,21.42,1531
5,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.1,0.85,40,2048,4,64,256,6,0,f16,f16,off,1,50,1,none,"",-0.7322865264117717,0.46,27.53,18.52,19.22,1407
6,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.1,0.95,60,4096,4,64,1024,8,0,f16,f16,off,1,0,1,none,"",-0.7486828027665615,0.54,31.29,20.15,20.92,1409
7,Llama-3.2-3B-Instruct-Q4_K_M.gguf,CPU,0.9,1.25,0.85,80,8192,4,512,1024,6,0,q8_0,q8_0,on,1,0,1,none,"",-0.9485010093450547,0.46,31.56,19.87,21.45,3361
8,minicpm-3b-openhermes-2.5-v2.Q4_K_M.gguf,CPU,0.3,1.1,0.9,40,4096,4,128,256,8,0,f16,f16,on,1,100,0,none,"",-0.769647519737482,0.56,32.38,21.20,22.01,1467
9,Llama-3.2-3B-Instruct-Q4_K_M.gguf,CPU,0.5,1.0,0.85,40,2048,4,128,1024,8,0,f16,f16,on,1,50,0,none,"",-0.8018002963066101,0.58,29.74,20.70,21.17,1554
10,Llama-3.2-1B-Instruct-Q4_K_M.gguf,CPU,0.3,1.0,0.85,80,8192,4,64,1024,8,0,f16,f16,off,1,50,1,none,"",-0.7398335590958596,0.6,29.58,20.09,20.74,1456
11,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.5,1.25,0.85,80,8192,4,128,1024,8,0,f16,q8_0,on,1,0,1,none,"",-0.8902377885580063,0.52,31.71,20.45,21.02,1469
12,minicpm-3b-openhermes-2.5-v2.Q4_K_M.gguf,CPU,0.9,1.25,0.9,60,8192,4,512,512,8,0,f16,f16,on,1,0,0,none,"",-0.9774346303939819,0.54,33.35,21.09,21.96,1424
