run_id,model,mode,temperature,repeat_penalty,top_p,top_k,min_p,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,context_shift,poll_level,use_mmap,split_mode,dry_multiplier,frequency_penalty,presence_penalty,token_limit,system_prompt,rouge1,rouge2,rougeL,rougeLsum,avg_prefill_speed,avg_decode_speed,avg_total_speed,runtime_seconds
1,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.2,1.2,1.0,40,0.1,512,0,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.1,0.3,750,,0.19926524422603598,0.024701212528758183,0.11637219539951438,0.12798917222491007,0.00,0.00,19.51,279
2,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,512,0,512,512,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.3,500,,0.16777201405307518,0.024394954872706775,0.11629024291364606,0.12874990732804675,0.00,0.00,17.42,324
3,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.2,1.0,30,0.1,4096,4,256,256,8,0,f16,q8_0,on,1,30,0,none,0.8,0.15,0.4,750,,0.1697026374709696,0.019306621949299184,0.10216198410257771,0.11411976603623823,0.00,0.00,37.08,228
4,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.2,1.0,40,0.1,2048,0,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.1,0.4,750,,0.1851848549695525,0.016904646973300703,0.10970460265444473,0.12307791301184717,0.00,0.00,60.65,153
5,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.2,1.0,30,0.1,4096,4,512,512,8,0,f16,q8_0,on,1,30,0,none,0.8,0.1,0.3,750,,0.1985938670016545,0.020563908424251546,0.1118314124237948,0.13390373293649688,0.00,0.00,40.97,191
6,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,4096,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.3,500,,0.18276917785191504,0.026955904069619327,0.12710326287932625,0.11597188244595083,0.00,0.00,44.34,191
7,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.1,1.0,40,0.15,1024,0,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.4,500,,0.20640452575472484,0.01874251041727535,0.12318599060011615,0.13806047686960526,0.00,0.00,59.90,162
8,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.3,1.2,1.0,30,0.1,512,4,512,512,8,0,f16,q8_0,on,1,30,0,none,0.8,0.1,0.2,750,,0.22368618403264148,0.027771766477739476,0.13769052197479198,0.13802460522783477,0.00,0.00,91.45,102
9,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.2,1.0,30,0.1,4096,4,256,256,8,0,f16,q8_0,on,1,30,0,none,0.8,0.1,0.4,750,,0.1891991534099488,0.02633338612637539,0.12299433498795341,0.13269508766251586,0.00,0.00,43.09,191
10,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,1024,4,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.4,500,,0.23632651858635617,0.039299402541559274,0.15544339253671957,0.15439314081321603,0.00,0.00,90.28,108
11,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,4096,0,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.4,500,,0.21110510101010266,0.028759564678700764,0.13157814237950233,0.14003811032455307,0.00,0.00,17.69,302
