run_id,model,mode,temperature,repeat_penalty,top_p,top_k,min_p,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,context_shift,poll_level,use_mmap,split_mode,dry_multiplier,frequency_penalty,presence_penalty,token_limit,system_prompt,rouge1,rouge2,rougeL,rougeLsum,avg_prefill_speed,avg_decode_speed,avg_total_speed,runtime_seconds
1,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,4096,0,512,512,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.20359441466523598,0.028951811425926312,0.12876365057126915,0.14816711912381525,0.00,0.00,55.13,327
2,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.2,1.0,30,0.15,512,4,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.19739019857414242,0.024008008180068492,0.11047418963648786,0.1336892904433824,0.00,0.00,53.70,341
3,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.2,1.0,30,0.15,2048,4,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.1807427180289277,0.01681722306301475,0.11187400860824545,0.12476337749276464,0.00,0.00,54.87,346
4,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,0,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.18437675996558062,0.022344896228066576,0.11369342797550014,0.13057266459165445,0.00,0.00,55.34,324
5,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.2,1.0,30,0.15,2048,0,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.20200992078976393,0.018894342174792987,0.11981417577132772,0.1473285211108768,0.00,0.00,59.95,288
6,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.2,1.0,30,0.15,2048,4,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.18733518207087035,0.021843982803531656,0.11545833315103882,0.1314819183488841,0.00,0.00,56.14,309
7,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.2,1.0,30,0.15,2048,0,512,512,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.1753830908088367,0.018503342615919047,0.1062337260450926,0.11908789989723524,0.00,0.00,51.40,350
8,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.2,1.0,30,0.15,1024,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.19534148739216345,0.020735872777513778,0.1112107484741911,0.13396255807165489,0.00,0.00,50.86,357
9,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,2048,0,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.1937970996505649,0.022249953762019766,0.12200555126765071,0.13380566219524348,0.00,0.00,50.36,353
10,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.2,1.0,30,0.15,4096,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.20563223810303227,0.01592798299552215,0.11543265094185587,0.12563914403306453,0.00,0.00,52.85,317
11,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,0,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.1864095333537633,0.020429223874017008,0.11473614055128313,0.12529819896203276,0.00,0.00,53.73,366
12,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,4096,4,256,256,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,750,,0.193200070211421,0.02678599094160803,0.12218261241629075,0.13817224135624845,0.00,0.00,56.43,316
